id,gid,x,y,v_x,v_y,radius,time
0,0,10.160820,0.363565,-0.105595,0.169214,0.200000,0.050000
1,0,12.528686,0.592824,-0.394287,0.025943,0.200000,0.050000
2,0,7.347040,-0.110686,0.500000,0.225908,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.837669,0.722295,0.052380,0.445668,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.696453,-1.068011,0.019052,-0.363623,0.200000,0.050000
7,0,10.861953,-0.174692,0.039053,-0.096946,0.200000,0.050000
8,0,13.294004,-0.530465,-0.377913,0.139520,0.200000,0.050000
9,0,8.030838,-0.232390,0.025756,-0.235320,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.761744,-0.690903,0.016876,0.006907,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.532691,0.133046,0.127823,0.025195,0.200000,0.050000
14,0,6.787340,-0.389901,-0.500000,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.032876,-0.500000,-0.342226,0.200000,0.050000
17,0,6.773015,0.907897,-0.128094,0.500000,0.200000,0.050000
18,0,9.494304,-0.446459,-0.082518,-0.176365,0.200000,0.050000
19,0,7.357290,-0.864390,0.500000,-0.500000,0.200000,0.050000
20,1,7.301529,7.707105,0.029172,-0.125102,0.200000,0.050000
21,1,8.367642,-4.203586,0.030842,-0.168720,0.200000,0.050000
22,1,7.112813,2.328193,0.024457,-0.157146,0.200000,0.050000
23,1,9.090068,-3.083218,0.034755,-0.130569,0.200000,0.050000
24,1,5.310220,5.480968,0.001606,-0.180039,0.200000,0.050000
25,1,8.411504,-2.036243,-0.027311,-0.141269,0.200000,0.050000
26,1,6.821316,6.560049,-0.013081,-0.165212,0.200000,0.050000
27,1,5.173159,1.244225,0.122788,0.419898,0.200000,0.050000
28,1,4.806596,3.019664,-0.059086,-0.062119,0.200000,0.050000
29,1,4.787470,0.726642,-0.500000,0.351766,0.200000,0.050000
30,1,7.598685,3.439354,-0.088909,-0.150712,0.200000,0.050000
31,1,7.270687,-4.352222,-0.102464,-0.145441,0.200000,0.050000
32,1,5.648043,2.236823,0.066268,-0.056744,0.200000,0.050000
33,1,7.975175,5.360953,-0.042899,-0.063138,0.200000,0.050000
34,1,4.925915,6.633374,-0.024103,-0.058529,0.200000,0.050000
35,1,9.204229,3.767153,0.397980,-0.350533,0.200000,0.050000
36,1,6.196770,4.202513,0.005605,-0.116140,0.200000,0.050000
37,1,8.535480,3.854391,-0.344803,-0.164775,0.200000,0.050000
38,1,9.146567,4.638124,0.105144,0.125285,0.200000,0.050000
39,1,6.797657,8.865177,-0.025065,-0.066463,0.200000,0.050000
0,0,10.154516,0.377874,-0.126075,0.286194,0.200000,0.100000
1,0,12.510456,0.596044,-0.364584,0.064404,0.200000,0.100000
2,0,7.347040,-0.100731,0.000000,0.199090,0.200000,0.100000
3,0,6.750557,-0.887402,-0.579651,-0.440475,0.200000,0.100000
4,0,8.840992,0.743283,0.066460,0.419744,0.200000,0.100000
5,0,5.248660,0.506680,0.000000,-0.058465,0.200000,0.100000
6,0,13.691039,-1.083888,-0.108268,-0.317535,0.200000,0.100000
7,0,10.848230,-0.178603,-0.274457,-0.078214,0.200000,0.100000
8,0,13.282738,-0.548489,-0.225325,-0.360480,0.200000,0.100000
9,0,8.024110,-0.238535,-0.134547,-0.122903,0.200000,0.100000
10,0,6.897659,0.263069,0.187178,0.370610,0.200000,0.100000
11,0,14.756154,-0.690446,-0.111804,0.009125,0.200000,0.100000
12,0,13.366520,0.570504,-0.367594,0.000000,0.200000,0.100000
13,0,8.539923,0.129728,0.144630,-0.066356,0.200000,0.100000
14,0,6.787340,-0.389901,0.000000,0.000000,0.200000,0.100000
15,0,13.653110,1.067976,0.320204,0.442716,0.200000,0.100000
16,0,6.370660,0.040764,-1.000000,0.157774,0.200000,0.100000
17,0,6.758068,0.907897,-0.298942,0.000000,0.200000,0.100000
18,0,9.490449,-0.450505,-0.077101,-0.080912,0.200000,0.100000
19,0,7.365692,-0.870129,0.168045,-0.114784,0.200000,0.100000
20,1,7.302767,7.698008,0.024775,-0.181943,0.200000,0.100000
21,1,8.366282,-4.220070,-0.027206,-0.329670,0.200000,0.100000
22,1,7.126517,2.317488,0.274078,-0.214099,0.200000,0.100000
23,1,9.093796,-3.103293,0.074568,-0.401491,0.200000,0.100000
24,1,5.305749,5.474438,-0.089418,-0.130611,0.200000,0.100000
25,1,8.413356,-2.067203,0.037029,-0.619189,0.200000,0.100000
26,1,6.819684,6.550055,-0.032641,-0.199883,0.200000,0.100000
27,1,5.159422,1.240220,-0.274747,-0.080102,0.200000,0.100000
28,1,4.796514,3.015674,-0.201638,-0.079802,0.200000,0.100000
29,1,4.765661,0.736084,-0.436188,0.188833,0.200000,0.100000
30,1,7.591553,3.423380,-0.142622,-0.319493,0.200000,0.100000
31,1,7.265765,-4.365259,-0.098441,-0.260748,0.200000,0.100000
32,1,5.652071,2.245249,0.080553,0.168521,0.200000,0.100000
33,1,7.976838,5.350319,0.033255,-0.212673,0.200000,0.100000
34,1,4.924618,6.625448,-0.025946,-0.158516,0.200000,0.100000
35,1,9.223219,3.747928,0.379804,-0.384499,0.200000,0.100000
36,1,6.195614,4.201646,-0.023122,-0.017336,0.200000,0.100000
37,1,8.543240,3.850301,0.155197,-0.081799,0.200000,0.100000
38,1,9.150451,4.639296,0.077683,0.023437,0.200000,0.100000
39,1,6.796599,8.855686,-0.021164,-0.189810,0.200000,0.100000
0,0,10.149863,0.385268,-0.093063,0.147880,0.200000,0.150000
1,0,12.484808,0.596313,-0.512969,0.005367,0.200000,0.150000
2,0,7.349248,-0.115777,0.044164,-0.300910,0.200000,0.150000
3,0,6.717992,-0.906734,-0.651316,-0.386638,0.200000,0.150000
4,0,8.836906,0.759646,-0.081729,0.327259,0.200000,0.150000
5,0,5.223660,0.519471,-0.500000,0.255818,0.200000,0.150000
6,0,13.688441,-1.104147,-0.051966,-0.405173,0.200000,0.150000
7,0,10.844929,-0.181968,-0.066014,-0.067304,0.200000,0.150000
8,0,13.257339,-0.558170,-0.507991,-0.193616,0.200000,0.150000
9,0,8.023505,-0.231357,-0.012106,0.143571,0.200000,0.150000
10,0,6.882018,0.284381,-0.312822,0.426253,0.200000,0.150000
11,0,14.745093,-0.690185,-0.221211,0.005231,0.200000,0.150000
12,0,13.355013,0.567136,-0.230149,-0.067363,0.200000,0.150000
13,0,8.527921,0.133594,-0.240042,0.077313,0.200000,0.150000
14,0,6.773254,-0.392165,-0.281713,-0.045285,0.200000,0.150000
15,0,13.661030,1.087527,0.158396,0.391014,0.200000,0.150000
16,0,6.345660,0.023653,-0.500000,-0.342226,0.200000,0.150000
17,0,6.746479,0.911237,-0.231786,0.066807,0.200000,0.150000
18,0,9.483929,-0.463746,-0.130407,-0.264830,0.200000,0.150000
19,0,7.354939,-0.893884,-0.215071,-0.475102,0.200000,0.150000
20,1,7.305289,7.683032,0.050424,-0.299514,0.200000,0.150000
21,1,8.362536,-4.246841,-0.074916,-0.535423,0.200000,0.150000
22,1,7.139034,2.315375,0.250352,-0.042255,0.200000,0.150000
23,1,9.103338,-3.130297,0.190846,-0.540075,0.200000,0.150000
24,1,5.299849,5.458723,-0.118017,-0.314288,0.200000,0.150000
25,1,8.408782,-2.093450,-0.091480,-0.524949,0.200000,0.150000
26,1,6.819486,6.535774,-0.003959,-0.285621,0.200000,0.150000
27,1,5.168110,1.248179,0.173750,0.159185,0.200000,0.150000
28,1,4.789706,3.008171,-0.136151,-0.150054,0.200000,0.150000
29,1,4.721700,0.736999,-0.879208,0.018305,0.200000,0.150000
30,1,7.582675,3.413105,-0.177559,-0.205503,0.200000,0.150000
31,1,7.259080,-4.383174,-0.133694,-0.358288,0.200000,0.150000
32,1,5.655653,2.241095,0.071646,-0.083071,0.200000,0.150000
33,1,7.973603,5.339296,-0.064706,-0.220461,0.200000,0.150000
34,1,4.921833,6.617733,-0.055687,-0.154299,0.200000,0.150000
35,1,9.237565,3.730390,0.286916,-0.350773,0.200000,0.150000
36,1,6.197205,4.194219,0.031819,-0.148535,0.200000,0.150000
37,1,8.552158,3.843104,0.178371,-0.143942,0.200000,0.150000
38,1,9.156020,4.640193,0.111372,0.017930,0.200000,0.150000
39,1,6.794169,8.843053,-0.048589,-0.252668,0.200000,0.150000
0,0,10.134952,0.388437,-0.298220,0.063380,0.200000,0.200000
1,0,12.465846,0.598313,-0.379239,0.039997,0.200000,0.200000
2,0,7.341023,-0.129037,-0.164502,-0.265206,0.200000,0.200000
3,0,6.681543,-0.928271,-0.728976,-0.430737,0.200000,0.200000
4,0,8.833476,0.765655,-0.068582,0.120194,0.200000,0.200000
5,0,5.194668,0.530653,-0.579833,0.223640,0.200000,0.200000
6,0,13.679614,-1.121996,-0.176543,-0.356988,0.200000,0.200000
7,0,10.829749,-0.188154,-0.303607,-0.123718,0.200000,0.200000
8,0,13.233405,-0.569285,-0.478680,-0.222305,0.200000,0.200000
9,0,7.997900,-0.249178,-0.512106,-0.356429,0.200000,0.200000
10,0,6.884227,0.280694,0.044190,-0.073747,0.200000,0.200000
11,0,14.730349,-0.690859,-0.294883,-0.013491,0.200000,0.200000
12,0,13.338981,0.564028,-0.320632,-0.062165,0.200000,0.200000
13,0,8.540918,0.161519,0.259958,0.558498,0.200000,0.200000
14,0,6.754081,-0.393987,-0.383470,-0.036429,0.200000,0.200000
15,0,13.661669,1.104744,0.012777,0.344349,0.200000,0.200000
16,0,6.317319,0.012879,-0.566821,-0.215482,0.200000,0.200000
17,0,6.725398,0.939578,-0.421614,0.566807,0.200000,0.200000
18,0,9.472698,-0.476200,-0.224618,-0.249067,0.200000,0.200000
19,0,7.338777,-0.914795,-0.323225,-0.418211,0.200000,0.200000
20,1,7.308045,7.667497,0.055127,-0.310699,0.200000,0.200000
21,1,8.357956,-4.277701,-0.091600,-0.617215,0.200000,0.200000
22,1,7.141425,2.313414,0.047819,-0.039210,0.200000,0.200000
23,1,9.110024,-3.160815,0.133703,-0.610372,0.200000,0.200000
24,1,5.294316,5.442893,-0.110649,-0.316605,0.200000,0.200000
25,1,8.404323,-2.122659,-0.089179,-0.584180,0.200000,0.200000
26,1,6.815366,6.519296,-0.082394,-0.329572,0.200000,0.200000
27,1,5.151797,1.242081,-0.326250,-0.121953,0.200000,0.200000
28,1,4.779516,2.994588,-0.203805,-0.271675,0.200000,0.200000
29,1,4.683485,0.731464,-0.764303,-0.110694,0.200000,0.200000
30,1,7.585802,3.401443,0.062532,-0.233222,0.200000,0.200000
31,1,7.251677,-4.406161,-0.148055,-0.459746,0.200000,0.200000
32,1,5.654982,2.254717,-0.013427,0.272436,0.200000,0.200000
33,1,7.974226,5.323579,0.012465,-0.314339,0.200000,0.200000
34,1,4.920049,6.605074,-0.035678,-0.253172,0.200000,0.200000
35,1,9.250438,3.712474,0.257462,-0.358311,0.200000,0.200000
36,1,6.196136,4.187965,-0.021390,-0.125082,0.200000,0.200000
37,1,8.563275,3.835490,0.222339,-0.152291,0.200000,0.200000
38,1,9.160116,4.634580,0.081915,-0.112245,0.200000,0.200000
39,1,6.792136,8.825238,-0.040665,-0.356309,0.200000,0.200000
0,0,10.123245,0.383772,-0.234149,-0.093319,0.200000,0.250000
1,0,12.443132,0.596262,-0.454281,-0.041011,0.200000,0.250000
2,0,7.307798,-0.137237,-0.664502,-0.164002,0.200000,0.250000
3,0,6.642259,-0.947139,-0.785670,-0.377365,0.200000,0.250000
4,0,8.844181,0.796665,0.214094,0.620194,0.200000,0.250000
5,0,5.150368,0.516835,-0.886009,-0.276360,0.200000,0.250000
6,0,13.665181,-1.137671,-0.288655,-0.313495,0.200000,0.250000
7,0,10.811646,-0.191329,-0.362046,-0.063493,0.200000,0.250000
8,0,13.207443,-0.579950,-0.519239,-0.213290,0.200000,0.250000
9,0,7.997295,-0.271673,-0.012106,-0.449897,0.200000,0.250000
10,0,6.875356,0.287610,-0.177417,0.138321,0.200000,0.250000
11,0,14.711826,-0.692293,-0.370458,-0.028671,0.200000,0.250000
12,0,13.321595,0.558512,-0.347729,-0.110311,0.200000,0.250000
13,0,8.528916,0.164443,-0.240042,0.058498,0.200000,0.250000
14,0,6.740602,-0.397411,-0.269581,-0.068491,0.200000,0.250000
15,0,13.655755,1.119856,-0.118274,0.302232,0.200000,0.250000
16,0,6.276512,0.003287,-0.816142,-0.191833,0.200000,0.250000
17,0,6.700616,0.946588,-0.495646,0.140205,0.200000,0.250000
18,0,9.454197,-0.489345,-0.370011,-0.262898,0.200000,0.250000
19,0,7.315132,-0.941665,-0.472909,-0.537398,0.200000,0.250000
20,1,7.311382,7.645232,0.066747,-0.445300,0.200000,0.250000
21,1,8.353305,-4.312419,-0.093020,-0.694345,0.200000,0.250000
22,1,7.134670,2.298330,-0.135096,-0.301692,0.200000,0.250000
23,1,9.114124,-3.194493,0.082007,-0.673557,0.200000,0.250000
24,1,5.283538,5.427578,-0.215553,-0.306301,0.200000,0.250000
25,1,8.399572,-2.155040,-0.095015,-0.647613,0.200000,0.250000
26,1,6.815249,6.502106,-0.002341,-0.343783,0.200000,0.250000
27,1,5.144939,1.260984,-0.137155,0.378047,0.200000,0.250000
28,1,4.774914,2.982609,-0.092039,-0.239579,0.200000,0.250000
29,1,4.650463,0.720130,-0.660443,-0.226698,0.200000,0.250000
30,1,7.590371,3.395517,0.091370,-0.118524,0.200000,0.250000
