id,gid,x,y,v_x,v_y,radius,time
0,0,7.951716,-0.010757,-0.482841,-0.107565,0.500000,0.100000
1,1,5.613990,5.617967,-0.428601,-0.388832,0.500000,0.100000
2,2,0.000133,7.906690,0.001332,-0.933102,0.500000,0.100000
3,3,-5.598452,5.596633,0.583978,-0.602170,0.500000,0.100000
4,4,-7.902497,0.000068,0.975032,0.000688,0.500000,0.100000
5,5,-5.650147,-5.644643,0.067033,0.122168,0.500000,0.100000
6,6,-0.000812,-7.972832,-0.008119,0.271681,0.500000,0.100000
7,7,5.650171,-5.653388,-0.066886,0.034620,0.500000,0.100000
0,0,7.859581,-0.009599,-0.921345,0.011577,0.500000,0.200000
1,1,5.556312,5.559537,-0.576778,-0.584294,0.500000,0.200000
2,2,0.004750,7.781896,0.046167,-1.247937,0.500000,0.200000
3,3,-5.528997,5.514907,0.694550,-0.817264,0.500000,0.200000
4,4,-7.793806,-0.003168,1.086905,-0.032364,0.500000,0.200000
5,5,-5.576830,-5.569889,0.733169,0.747541,0.500000,0.200000
6,6,-0.000587,-7.864791,0.002244,1.080405,0.500000,0.200000
7,7,5.592293,-5.600066,-0.578786,0.533220,0.500000,0.200000
0,0,7.750841,-0.011618,-1.087401,-0.020191,0.500000,0.300000
1,1,5.480394,5.511381,-0.759178,-0.481560,0.500000,0.300000
2,2,0.003096,7.644476,-0.016533,-1.374202,0.500000,0.300000
3,3,-5.442363,5.414716,0.866342,-1.001909,0.500000,0.300000
4,4,-7.690798,-0.020193,1.030087,-0.170245,0.500000,0.300000
5,5,-5.497172,-5.482444,0.796579,0.874448,0.500000,0.300000
6,6,0.005700,-7.743112,0.062874,1.216797,0.500000,0.300000
7,7,5.514182,-5.530110,-0.781106,0.699558,0.500000,0.300000
0,0,7.643575,-0.015215,-1.072660,-0.035969,0.500000,0.400000
1,1,5.393853,5.459020,-0.865411,-0.523609,0.500000,0.400000
2,2,0.004088,7.514365,0.009914,-1.301107,0.500000,0.400000
3,3,-5.362694,5.320949,0.796689,-0.937664,0.500000,0.400000
4,4,-7.581169,-0.024655,1.096288,-0.044625,0.500000,0.400000
5,5,-5.421804,-5.391866,0.753683,0.905778,0.500000,0.400000
6,6,-0.000536,-7.625472,-0.062358,1.176395,0.500000,0.400000
7,7,5.433351,-5.456553,-0.808310,0.735574,0.500000,0.400000
0,0,7.507934,-0.013267,-1.356414,0.019477,0.500000,0.500000
1,1,5.305735,5.396391,-0.881178,-0.626291,0.500000,0.500000
2,2,0.018034,7.380560,0.139464,-1.338053,0.500000,0.500000
3,3,-5.256461,5.223335,1.062332,-0.976146,0.500000,0.500000
4,4,-7.456963,-0.034786,1.242060,-0.101308,0.500000,0.500000
5,5,-5.356306,-5.303132,0.654977,0.887349,0.500000,0.500000
6,6,-0.013235,-7.482475,-0.126994,1.429971,0.500000,0.500000
7,7,5.355581,-5.410644,-0.777701,0.459089,0.500000,0.500000
0,0,7.363189,-0.011992,-1.447452,0.012754,0.500000,0.600000
1,1,5.227781,5.323332,-0.779547,-0.730598,0.500000,0.600000
2,2,0.020735,7.249529,0.027010,-1.310314,0.500000,0.600000
3,3,-5.137075,5.116179,1.193862,-1.071559,0.500000,0.600000
4,4,-7.314792,-0.034479,1.421710,0.003070,0.500000,0.600000
5,5,-5.290645,-5.221742,0.656611,0.813891,0.500000,0.600000
6,6,-0.025072,-7.311115,-0.118369,1.713597,0.500000,0.600000
7,7,5.274470,-5.345634,-0.811108,0.650098,0.500000,0.600000
0,0,7.215493,0.003596,-1.476956,0.155880,0.500000,0.700000
1,1,5.145217,5.234036,-0.825636,-0.892961,0.500000,0.700000
2,2,0.007539,7.113503,-0.131955,-1.360252,0.500000,0.700000
3,3,-5.024660,5.030826,1.124144,-0.853532,0.500000,0.700000
4,4,-7.183047,-0.021275,1.317444,0.132043,0.500000,0.700000
5,5,-5.190230,-5.127010,1.004146,0.947326,0.500000,0.700000
6,6,-0.037804,-7.138697,-0.127318,1.724185,0.500000,0.700000
7,7,5.210118,-5.270012,-0.643522,0.756216,0.500000,0.700000
0,0,7.065093,0.020299,-1.504002,0.167030,0.500000,0.800000
1,1,5.074317,5.157412,-0.709002,-0.766237,0.500000,0.800000
2,2,0.002301,6.975415,-0.052389,-1.380883,0.500000,0.800000
3,3,-4.926869,4.939987,0.977913,-0.908388,0.500000,0.800000
4,4,-7.049772,-0.012085,1.332753,0.091904,0.500000,0.800000
5,5,-5.092654,-5.048280,0.975764,0.787301,0.500000,0.800000
6,6,-0.037692,-7.001174,0.001116,1.375233,0.500000,0.800000
7,7,5.136524,-5.200955,-0.735937,0.690577,0.500000,0.800000
0,0,6.917370,0.016988,-1.477229,-0.033109,0.500000,0.900000
1,1,4.996228,5.076855,-0.780891,-0.805565,0.500000,0.900000
2,2,-0.001852,6.855770,-0.041530,-1.196451,0.500000,0.900000
3,3,-4.832942,4.848330,0.939270,-0.916564,0.500000,0.900000
4,4,-6.923875,-0.008847,1.258967,0.032371,0.500000,0.900000
5,5,-4.982183,-4.981354,1.104706,0.669257,0.500000,0.900000
6,6,-0.068713,-6.845067,-0.310202,1.561069,0.500000,0.900000
7,7,5.054053,-5.118140,-0.824713,0.828153,0.500000,0.900000
0,0,6.781956,0.018196,-1.354143,0.012079,0.500000,1.000000
1,1,4.918361,5.000324,-0.778664,-0.765318,0.500000,1.000000
2,2,-0.004794,6.725103,-0.029418,-1.306668,0.500000,1.000000
3,3,-4.759333,4.764056,0.736086,-0.842739,0.500000,1.000000
4,4,-6.791566,-0.006713,1.323097,0.021344,0.500000,1.000000
5,5,-4.890847,-4.899619,0.913364,0.817351,0.500000,1.000000
6,6,-0.096236,-6.710639,-0.275234,1.344274,0.500000,1.000000
